tweet_text,1
"In other words #katandandre, your food was crapilicious! #mkr",0
Why is #aussietv so white? #MKR #theblock #ImACelebrityAU #today #sunrise #studio10 #Neighbours #WonderlandTen #etc,0
@XochitlSuckkks a classy whore? Or more red velvet cupcakes?,0
"@Jason_Gio meh. :P  thanks for the heads up, but not too concerned about another angry dude on twitter.",0
"@RudhoeEnglish This is an ISIS account pretending to be a Kurdish account.  Like Islam, it is all lies.",0
"@Raja5aab @Quickieleaks Yes, the test of god is that good or bad or indifferent or weird or whatever, it all proves gods existence.",0
Itu sekolah ya bukan tempat bully! Ga jauh kaya neraka,0
Karma. I hope it bites Kat on the butt. She is just nasty. #mkr,0
@stockputout everything but mostly my priest,0
Rebecca Black Drops Out of School Due to Bullying:,0
@Jord_Is_Dead http://t.co/UsQInYW5Gn,0
The Bully flushes on KD http://twitvid.com/A2TNP,0
Ughhhh #MKR,0
